LAD19CD,Name,Latest infection rate,Mean infection rate over last 3 weeks,upper,lower,Clinically extremely vulnerable,Extent,Percentage of population who are white UK born,Percentage of population who are white not UK born,Percentage of population who are ethnic minority UK born,Percentage of population who are ethnic minority not UK born,Dispersed Accommodation,Subsistence Only,People receiving Section 95 support,LAD19NM,Furlough count,Furlough rate,Homelessness
E07000149,South Norfolk,NA,NA,NA,NA,6810,0,89.3,5,2.5,3.1,0,2,2,South Norfolk,17500,0.28000000000000003,0.691
E07000150,Corby,NA,NA,NA,NA,2870,0.2723,72.9,21.5,4.9,NA,NA,NA,NA,Corby,11700,0.3,3.588
E07000151,Daventry,NA,NA,NA,NA,3250,0.0412,92.1,6.4,1.4,NA,NA,NA,NA,Daventry,13200,0.32,1.553
E07000152,East Northamptonshire,NA,NA,NA,NA,2815,0.048,94.3,4.3,NA,NA,3,0,3,East Northamptonshire,14400,0.33,1.611
E07000153,Kettering,NA,NA,NA,NA,3680,0.15310000000000001,84.5,10.2,NA,4.3,0,7,7,Kettering,15800,0.32,3.604
E07000154,Northampton,NA,NA,NA,NA,8365,0.2365,68.5,12.2,6.3,12.9,0,7,7,Northampton,36300,0.3,4.84
E07000155,South Northamptonshire,NA,NA,NA,NA,3315,0,90.2,6.5,3.3,NA,NA,NA,NA,South Northamptonshire,14600,0.31,0.97
E07000156,Wellingborough,NA,NA,NA,NA,3885,0.2052,80.5,7.4,4.7,7.5,0,7,7,Wellingborough,13100,0.32,4.284
E07000163,Craven,NA,NA,NA,NA,2955,0.0237,94.4,4.8,NA,NA,NA,NA,NA,Craven,8400,0.35,0.079
E07000164,Hambleton,NA,NA,NA,NA,3140,0.005,94.6,3.5,NA,1,NA,NA,NA,Hambleton,11400,0.28999999999999998,0.605
E07000165,Harrogate,NA,NA,NA,NA,5945,0.0128,90.5,6.2,1.5,1.8,0,1,1,Harrogate,23500,0.31,1.964
E07000166,Richmondshire,NA,NA,NA,NA,1535,0.0121,93.8,4.3,NA,NA,NA,NA,NA,Richmondshire,6400,0.28000000000000003,2.35
E07000167,Ryedale,NA,NA,NA,NA,2530,0,89.8,5.8,1.7,2.6,NA,NA,NA,Ryedale,7800,0.34,0.07
E07000168,Scarborough,NA,NA,NA,NA,4390,0.2609,98.2,NA,NA,1.1,NA,NA,NA,Scarborough,17200,0.38,1.92
